id,name,geom,type,type_validated,start_date,end_date,municipality,province,num_branches,active_1950_1959,active_1960_1969,active_1970_1979,active_1980_1989,active_1990_1999,active_2000_2009,active_2010_2019,active_2020_2029
03GT,Christelijke Basisschool De Foareker,POINT(4.8193028 52.3394177),BAS,True,1-8-1985,,EASTEREIN,Friesland,1,False,False,False,True,True,True,True,True
03GW,KC de Loft,POINT(5.8589937 50.9890212),BAS,True,1-8-1985,,SITTARD,Limburg,1,False,False,False,True,True,True,True,True
03HA,Rooms Katholieke Basisschool Emmaus,POINT(5.5335388 51.7319599),BAS,True,1-8-1985,,HEESCH,Noord-Brabant,1,False,False,False,True,True,True,True,True
03HB,Koelmanschool,POINT(4.23304 51.4582199),BAS,True,1-8-1985,,GOES,Zeeland,1,False,False,False,True,True,True,True,True
03HC,Christelijke Basisschool,POINT(5.1773951 51.8096417),BAS,True,1-8-1985,,NIEUWAAL,Gelderland,1,False,False,False,True,True,True,True,True
03HD,Basisschool De Lisbloem,POINT(4.66543589248697 52.38490765),BAS,True,1-8-1985,,LISSE,Zuid-Holland,1,False,False,False,True,True,True,True,True
03HE,Basisschool De Akker,POINT(6.8954111 52.2212261),BAS,True,1-8-1985,,LISSE,Zuid-Holland,1,False,False,False,True,True,True,True,True
03HF,Basisschool De Draaiende Wieken,POINT(6.094789979057632 51.398796700000005),BAS,True,1-8-1985,,POSTERHOLT,Limburg,1,False,False,False,True,True,True,True,True
03HG,Basisschool De Bongerd,POINT(6.094789979057632 51.398796700000005),BAS,True,1-8-1985,,NEDERWEERT,Limburg,1,False,False,False,True,True,True,True,True
03HH,De Parel,POINT(4.279586499754901 51.879845849999995),BAS,True,1-8-1985,,BERKEL EN RODENRIJS,Zuid-Holland,1,False,False,False,True,True,True,True,True
03HI,Het Christal,POINT(4.3573445 51.9143064),BAS,True,1-8-1985,,VLAARDINGEN,Zuid-Holland,1,False,False,False,True,True,True,True,True
03HK,Basisschool Guido De Bres,POINT(4.8689263 51.798914),BAS,True,1-8-1985,,OMMEN,Overijssel,1,False,False,False,True,True,True,True,True
03HL,Basisschool De Zjwiek,POINT(4.8872766 52.3701828),BAS,True,1-8-1985,,ROGGEL,Limburg,1,False,False,False,True,True,True,True,True
03HM,De Vuursteen,POINT(5.709476294905933 52.46301915),BAS,True,1-8-1985,,DALFSEN,Overijssel,1,False,False,False,True,True,True,True,True
03HO,Basisschool Klim-op - school met de Bijbel,POINT(6.8935824 52.2210791),BAS,True,1-8-1985,,MIDDELSTUM,Groningen,1,False,False,False,True,True,True,True,True
03HP,Rehoboth,POINT(5.9106971 51.9788779),BAS,True,1-8-1985,,GENEMUIDEN,Overijssel,1,False,False,False,True,True,True,True,True
03HQ,GBS de Levensboom,POINT(6.1836758 52.6129334),BAS,True,1-8-1985,,ROUVEEN,Overijssel,1,False,False,False,True,True,True,True,True
03HR,Basisschool De Cirkel - school met de Bijbel,POINT(6.8954111 52.2212261),BAS,True,1-8-1985,,ASSEN,Drenthe,1,False,False,False,True,True,True,True,True
03HS,Basisschool Oranje Nassau - school met de Bijbel,POINT(4.8677619 51.7988565),BAS,True,1-8-1985,,KOOTSTERTILLE,Friesland,1,False,False,False,True,True,True,True,True
03HU,Rehobothschool,POINT(5.6715175 52.1496156),BAS,True,1-8-1985,,KOOTWIJKERBROEK,Gelderland,1,False,False,False,True,True,True,True,True
03HV,De Triangel Capelle,POINT(4.8689263 51.798914),BAS,True,1-8-1985,,CAPELLE AAN DEN IJSSEL,Zuid-Holland,2,False,False,False,True,True,True,True,True
03HY,Christelijke Basisschool Eben Haezer,POINT(6.8934123 52.2192168),BAS,True,1-8-1985,,OPHEUSDEN,Gelderland,1,False,False,False,True,True,True,True,True
03HZ,Ds Derksenschool,POINT(5.1080607 52.1022296),BAS,True,1-8-1985,,RAVENSWAAIJ,Gelderland,1,False,False,False,True,True,True,True,True
03IA,Graaf Jan van Nassau School voor Basisonderwijs,POINT(3.5895356 51.465731),BAS,True,1-8-1985,,VLISSINGEN,Zeeland,1,False,False,False,True,True,True,True,True
03IB,Christelijke Basisschool De Reinbôge,POINT(5.5002561 53.0407999),BAS,True,1-8-1985,,TJERKWERD,Friesland,1,False,False,False,True,True,True,True,True
03IC,IKC Magenta,POINT(4.3472441 51.9807372),BAS,True,1-8-1985,,DELDEN,Overijssel,1,False,False,False,True,True,True,True,True
03IH,Katholieke Basisschool Montessorischool,POINT(5.1810391 52.2810574),BAS,True,1-8-1985,,BUSSUM,Noord-Holland,3,False,False,False,True,True,True,True,True
03IK,Basisschool Eben Haezer,POINT(4.2105538 51.5370174),BAS,True,1-8-1985,,THOLEN,Zeeland,1,False,False,False,True,True,True,True,True
03IV,Basisschool St Jozef,POINT(6.1339662 51.3409372),BAS,True,1-8-1985,,TEGELEN,Limburg,1,False,False,False,True,True,True,True,True
03IW,Christelijke Basisschool Het Kompas,POINT(3.730592783214474 51.444867599999995),BAS,True,1-8-1985,,YERSEKE,Zeeland,1,False,False,False,True,True,True,True,True
03IX,Basisschool Valkenheuvel,POINT(4.8689263 51.798914),BAS,True,1-8-1985,,DRIEBERGEN-RIJSENBURG,Utrecht,1,False,False,False,True,True,True,True,True
03IY,Basisschool Jf Kennedy,POINT(5.6568867 50.8447704),BAS,True,1-8-1985,,MAASTRICHT,Limburg,1,False,False,False,True,True,True,True,True
03IZ,Basisschool St Vitus,POINT(6.0939568 51.5550184),BAS,True,1-8-1985,,WELL LB,Limburg,1,False,False,False,True,True,True,True,True
03JB,Kindcentrum Platijn,POINT(4.8682673 51.801082),BAS,True,1-8-1985,,BEST,Noord-Brabant,1,False,False,False,True,True,True,True,True
03JC,Kbs John F Kennedy,POINT(4.786732 51.6061716),BAS,True,1-8-1985,,BREDA,Noord-Brabant,2,False,False,False,True,True,True,True,True
03JD,Christelijk Kindcentrum Gulden Bodem,POINT(5.8920017 51.9952721),BAS,True,1-8-1985,,ARNHEM,Gelderland,1,False,False,False,True,True,True,True,True
